// AVEC BOOL ESSAI 1


[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_1x1.cell, cellid=20, cellpos=(20736.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NES_A.cell, cellid=40, cellpos=(2304.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NES_A.cell, cellid=43, cellpos=(9216.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NES_A.cell, cellid=53, cellpos=(4608.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NES_A.cell, cellid=41, cellpos=(4608.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ES_A.cell, cellid=44, cellpos=(11520.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NE_A.cell, cellid=39, cellpos=(0.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/Dino_Jungle_SuperRiver_F.cell, cellid=75, cellpos=(0.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/Dino_Jungle_SuperRiver_E.cell, cellid=76, cellpos=(2304.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/Dino_Jungle_SuperRiver_B.cell, cellid=77, cellpos=(4608.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/Dino_Jungle_SuperRiver_E.cell, cellid=78, cellpos=(6912.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/Dino_Jungle_SuperRiver_C.cell, cellid=79, cellpos=(9216.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/Dino_Jungle_SuperRiver_A.cell, cellid=80, cellpos=(11520.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_A.cell, cellid=103, cellpos=(9216.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_B/Dino_Jungle_B_NESW_B.cell, cellid=82, cellpos=(2304.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=88, cellpos=(2304.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_B.cell, cellid=90, cellpos=(6912.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_Trans/Dino_Jungle_SacredValley_Entry.cell, cellid=83, cellpos=(4608.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=89, cellpos=(4608.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=116, cellpos=(11520.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_B.cell, cellid=108, cellpos=(6912.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_A.cell, cellid=102, cellpos=(6912.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_C.cell, cellid=107, cellpos=(4608.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=84, cellpos=(6912.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_C_NESW_A.cell, cellid=97, cellpos=(9216.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=95, cellpos=(4608.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_B/Dino_Jungle_B_NESW_A.cell, cellid=106, cellpos=(2304.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_A.cell, cellid=96, cellpos=(6912.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_B.cell, cellid=94, cellpos=(2304.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_D.cell, cellid=101, cellpos=(4608.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_Trans/Dino_Jungle_NESW_Entry_A.cell, cellid=85, cellpos=(9216.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_A.cell, cellid=91, cellpos=(9216.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_A.cell, cellid=100, cellpos=(2304.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESWdNE_A.cell, cellid=109, cellpos=(9216.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NSW_A.cell, cellid=114, cellpos=(6912.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NSW_A.cell, cellid=113, cellpos=(4608.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NSW_A.cell, cellid=112, cellpos=(2304.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=93, cellpos=(0.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=87, cellpos=(0.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=105, cellpos=(0.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_JeepWreck.cell, cellid=99, cellpos=(0.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=81, cellpos=(0.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NW_A.cell, cellid=111, cellpos=(0.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=86, cellpos=(11520.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=92, cellpos=(11520.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=98, cellpos=(11520.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_Trans/Dino_Jungle_DinoGrave_Entry.cell, cellid=104, cellpos=(11520.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_SW_A.cell, cellid=115, cellpos=(9216.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_SW_A.cell, cellid=110, cellpos=(11520.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Navi Fast Triangle Lookup: 34x32 = 1088 sectors
[0048.97] Error: [VerifyFail] Verify failed: m_entitySpatialPartition == 0
        File:D:\mirrorBuilds_source05\MarvelGame_v52\Source\Game\Game/Region/Region.cpp Line:846

[0048.97] Log: [[Game]] CellSetRegistry::LoadCellSet(Savagelands/Dino_Jungle_A/)
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=117, cellpos=(-3456.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=118, cellpos=(-5760.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=119, cellpos=(-8064.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.97] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=120, cellpos=(-10368.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=121, cellpos=(-12672.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=122, cellpos=(-14976.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=123, cellpos=(-1152.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=124, cellpos=(-17280.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=125, cellpos=(1152.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=126, cellpos=(-19584.00, 16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=127, cellpos=(-1152.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=128, cellpos=(-17280.00, 13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=129, cellpos=(-1152.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=130, cellpos=(-17280.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=131, cellpos=(-1152.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=132, cellpos=(-17280.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=133, cellpos=(-1152.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.98] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=134, cellpos=(-17280.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
